id	sample_description	title	study_ref	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	filetype	library_nominal_length	library_nominal_sdev
90	366344_0966-LP1-16S-0187	Must-20-AUG-2022-gt48-Block1_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
91	366344_0965-LP1-16S-0188	Must-27-AUG-2022-gt110-Block1_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
92	366344_0964-LP1-16S-0189	Must-27-AUG-2022-gt147-Block2_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
93	366344_0963-LP1-16S-0190	Must-20-AUG-2022-gt64-Block2_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
94	366344_0962-LP1-16S-0191	Must-20-AUG-2022-gt5-Block2_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
95	366344_0961-LP1-16S-0192	Must-20-AUG-2022-gt120-Block1_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
96	366344_0960-LP1-16S-0193	Must-27-AUG-2022-gt23-Block3	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
97	366344_0959-LP1-16S-0194	Must-09-SEP-2022-gt60-Block2	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
98	366344_0958-LP1-16S-0195	Must-09-SEP-2022-gt156-Block2	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
99	366344_0957-LP1-16S-0196	Must-09-SEP-2022-gt116-Block1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
100	366344_0956-LP1-16S-0197	Must-09-SEP-2022-gt44-Block1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
101	366344_0955-LP1-16S-0198	Must-09-SEP-2022-gt79-Block1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
102	366344_0954-LP1-16S-0199	DNA19-neg-1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
103	366344_0953-LP1-16S-0200	Must-09-SEP-2022-gt11-Block2	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
104	366344_0952-LP1-16S-0201	DNA19-pos-1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
105	366344_0951-LP1-16S-0202	Must-27-AUG-2022-gt110-Block3	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
106	366344_0950-LP1-16S-0203	Must-27-AUG-2022-gt19-Block3	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
107	366344_0949-LP1-16S-0204	Must-03-SEP-2022-gt55-Block1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
108	366344_0948-LP1-16S-0205	Must-09-SEP-2022-gt153-Block2	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
109	366344_0947-LP1-16S-0206	Must-09-SEP-2022-gt152-Block1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
110	366344_0946-LP1-16S-0207	Must-03-SEP-2022-gt26-Block1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
111	366344_0945-LP1-16S-0208	Must-27-AUG-2022-gt127-Block3	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
112	366344_0944-LP1-16S-0209	Must-20-AUG-2022-gt114-Block3	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
